req_id,normalized_requirement,type,priority,source,acceptance_criterion,dependency,owner,implementation,test,evidence,state
"REQ-001","One site with scalable URLs for Madrid Barcelona and local coverage","functional/SEO","P0/MUST","Brief pp.1-3; meeting 16:57 pp.18-19","A single domain exposes maintainable hubs and local templates with no cloned mass pages","coverage and content validation","Codex/Luis","existing Madrid/Barcelona routes only","route crawl plus metadata audit","pending","PARTIAL"
"REQ-002","Service only at homes and hotels; never advertise a public venue","content/legal","P0/MUST","Brief p.1","All public copy and schema avoid a physical customer venue","approved service description","Luis","present in existing copy","content grep and page review","existing routes","PARTIAL"
"REQ-003","Provide home, geographic hubs, profiles, contact/reservation and legal information","functional","P0/MUST","Brief pp.1-3","All required route families exist and navigate correctly","content/legal","Codex/Luis","Madrid/Barcelona only","route crawl and keyboard navigation","pending","OPEN"
"REQ-004","Publish only real coverage; prioritize named areas and avoid 179 cloned pages","SEO/content","P0/MUST","Brief pp.2-3","Only approved coverage is public and each page has distinct useful content","coverage approval and keyword research","Luis/SEO","template pending","content uniqueness and route audit","pending","BLOCKED"
"REQ-005","Each local landing contains local proposition, service, coverage, applicable profiles, FAQ, nearby links and CTA","functional/SEO","P1/MUST","Brief pp.3-4","Each published local route satisfies all required sections","profile and coverage data","Codex","partial city template","component and route tests","pending","PARTIAL"
"REQ-006","Implement technical SEO including unique metadata, headings, sitemap, robots, canonical, breadcrumbs, schema, modern images and internal links","SEO/quality","P0/MUST","Brief p.4","Automated audit finds unique metadata and valid technical files on every public route","final domain and route set","Codex","partial metadata/sitemap/robots","build crawl and structured-data validation","baseline build","PARTIAL"
"REQ-007","Prioritize local SEO by evidence and keyword research","SEO","P1/MUST","Brief p.2","Priority matrix records evidence and no ranking is guaranteed","research and real coverage","SEO/Luis","not implemented","research review","pending","BLOCKED"
"REQ-008","CMS without code supports create edit duplicate archive delete statuses availability preview roles and audit","CMS/security","P0/MUST","Brief p.5; Puntos p.1","Admin/editor permissions and lifecycle operations pass tests; hidden/archived records are not public","persistence/auth decision","Codex/Luis","not implemented","unit/integration/E2E permissions and lifecycle","pending","BLOCKED"
"REQ-009","Manage ordered photos and videos from desktop/mobile with automatic image optimization","CMS/media","P0/MUST","Brief p.5; Puntos p.1","Upload replace delete reorder and optimization pass with documented limits","object storage/CDN decision and licensed media","Codex/Luis","not implemented","upload/order/format/performance tests","pending","BLOCKED"
"REQ-010","Profile schema includes identity copy measurements language services media availability and coverage","data","P1/MUST","Brief p.5; meeting 16:57 p.26","Schema and validation support all fields without limiting record count","field definitions/content","Codex/Luis","not implemented","schema validation","pending","OPEN"
"REQ-011","Eight initial profiles are content load not architecture limit","scalability","P1/MUST","Puntos p.1","More than eight profiles work without redesign or hardcoded slots","profile data","Codex","not implemented","fixture with at least nine records","pending","OPEN"
"REQ-012","No online payment/booking now; keep integration seam and prioritize Telegram plus WhatsApp phone and form","functional","P0/MUST","Brief p.4; Puntos p.1; meeting 16:57 pp.21-22","CTAs work with approved destinations; no checkout is exposed; provider seam documented","real channel URLs","Luis/Codex","placeholder channels exist","link and form E2E","pending","BLOCKED"
"REQ-013","Deliver full admin access, code/repository and basic operating guide","handoff","P0/MUST","Puntos pp.1-2","Recipient can reproduce, operate and recover using documentation","hosting/admin choice","Codex/Luis","code clone exists; guide pending","clean-room reproduction","pending","OPEN"
"REQ-014","Produce architecture, URL map, SEO classification, research, wireframes, mobile navigation, linking and measurement specification","planning/design","P1/MUST","Brief p.5","Each artifact exists and is linked to implementation decisions","visual/coverage decisions","Codex/Luis","requirements and control baseline created","artifact review","project files","PARTIAL"
"REQ-015","Premium discreet professional brand with black/charcoal base, original apple symbol, premium imagery and polished mobile layout","design","P0/MUST","Brief pp.1,4 plus meeting 16:57 pp.24-25","Approved design is reproduced without copied logo/assets and passes design QA","visual selection and asset rights","Luis/Codex","existing burgundy concept conflicts with mockups","same-viewport design QA","pending","BLOCKED"
"REQ-016","Legal information, age control and clear service explanation","legal/privacy","P0/MUST","Brief p.1; meeting 16:57 pp.24-25","Original approved legal content and an accessible age gate exist; no copied third-party text","legal owner/content and consent policy","Luis/Legal/Codex","age ribbon only","legal review and age-gate E2E","pending","BLOCKED"
"REQ-017","Separate initial SEO setup from recurring SEO and avoid ranking guarantees","governance/SEO","P0/MUST","Meeting 16:57 pp.14-16","Documentation and public/commercial copy contain no ranking SLA","commercial decision","Luis/SEO","documented in control","document review","PROJECT_CONTROL.md","PARTIAL"
"REQ-018","Meet 2026-08-29 22:00 America/Bogota deadline while preserving QA reserve","schedule","P0/MUST","Direct user instruction","Validated versioned delivery exists by deadline or exceptions are explicitly accepted","scope decisions/content","Codex/Luis","red alert active","milestone and final hash review","PROJECT_CONTROL.md","AT_RISK"
"REQ-019","Provide public profile listing, filtering and detailed profile flow","functional","P1/MUST","Brief architecture plus mockup 5:19:36","Users can browse, filter and open a profile with correct empty/unavailable states","visual selection and profile data","Codex/Luis","not implemented","responsive E2E and accessibility","pending","OPEN"
"REQ-020","Use soft-delete/archive by default and protect irreversible deletion","CMS/safety","P1/MUST","Brief p.5 vs Puntos p.1","Records can be recovered after normal removal; permanent delete requires authorized confirmation","retention decision","Codex/Luis","recommended ADR pending","lifecycle and authorization tests","pending","OPEN"
